type,price,price_per_sqm,area,rooms,living_area,kitchen_area,gas,material,build_year,build_series_category,published,updated,level,levels,rubbish_chute,enterances,build_overlap,build_walls,heating,areaRating,city,remoute_from_center,agencyName,longitude,latitude
unknown,12000.0,200.0,60.0,2,40.0,10.0,unknown,панель,,unknown,2021-05-20,2022-02-10,3,5,0,0,0,Не заполнено,0,3.6344512,Йошкар-Ола,1.9517143237641257,Антон,47.863361,56.647657
Квартира,35000.0,583.0,60.0,2,45.0,12.0,unknown,кирпич,,unknown,2021-09-30,2022-02-10,1,10,0,0,0,0,0,3.6344512,Йошкар-Ола,1.702296839611606,Антон Александрович,47.877609,56.625316000000005
Многоквартирный дом,22000.0,268.0,82.0,3,54.0,10.0,Да,кирпич,1987.0,brick_series,2021-09-15,2022-02-10,1,5,Нет,5,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,0.9209452524249684,"Риелторская компания ""Партнеры""",47.900983,56.644836
Многоквартирный дом,11000.0,314.0,35.0,1,18.0,8.0,Да,кирпич,1987.0,brick_series,2022-01-11,2022-02-10,2,5,Нет,1,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,1.1939072603780752,"Риелторская компания ""Партнеры""",47.878426,56.647054
Многоквартирный дом,15000.0,429.0,35.0,1,16.0,9.0,Да,кирпич,2015.0,brick_series,2022-02-10,2022-02-10,2,9,Нет,6,Железобетонные,Кирпич,квартирное отопление (квартирный котел),3.6344512,Йошкар-Ола,2.4510246381870733,"""Орбита""",47.853085,56.646059
Многоквартирный дом,12000.0,214.0,56.0,2,31.0,7.5,Нет,панель,1975.0,other_series,2021-05-01,2022-02-09,8,9,Есть,6,Железобетонные,Панельные,центральное,3.6344512,Йошкар-Ола,1.642182403460089,Марий Эл недвижимость,47.908178,56.627565
Многоквартирный дом,9000.0,243.0,37.0,1,,9.0,Да,кирпич,2002.0,unknown,2021-02-07,2022-02-09,2,10,Нет,8,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,2.7654818904204896,"Агентство ""Квартира 12""",47.9358013247274,56.6376248133477
Многоквартирный дом,13000.0,260.0,50.0,2,35.0,8.0,Да,панель,1942.0,unknown,2017-08-23,2022-02-09,3,5,Нет,2,Деревянные,Деревянные,центральное,3.6344512,Йошкар-Ола,1.2206039325924083,марина,47.871168,56.636937
Многоквартирный дом,8000.0,440.0,18.2,1,15.0,3.0,Нет,кирпич,1970.0,brick_series,2021-10-13,2022-02-09,3,5,Нет,3,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,3.13026461002831,"АН ""Альянс""",47.840158,56.635298
Многоквартирный дом,15000.0,278.0,54.0,2,30.0,8.0,Да,панель,1975.0,panel_series,2022-02-10,2022-02-10,1,5,Нет,6,Железобетонные,Панельные,центральное,3.6344512,Йошкар-Ола,2.988009628081362,Татьяна ( риэлтор ),47.842682,56.634585
