deal_price,price_per_sqm,region_code,region_name,city,district,street,area,realestate_type_name,purpose_name,wall_material_name,floor,area_category,price_per_sqm_category,period_start_date,year_build,year,month
230400.0,1920.0,60.0,Псковская область,Псков,Не указано,Не указано,120.0,Здание,Нежилое здание,Кирпич,1.0,100-200 кв.м,До 10 тыс/кв.м,2024-01-01,1976.0,2024,1
6000.0,108.7,38.0,Иркутская область,Жигалово,Жигаловский,Речников,55.2,Помещение,Нежилое помещение,Дерево,1.0,50-100 кв.м,До 10 тыс/кв.м,2024-01-01,1996.0,2024,1
12000.0,93.3,26.0,Ставропольский край,Невинномысск,Не указано,Дунаевского,128.6,Здание,Нежилое здание,Кирпич,1.0,100-200 кв.м,До 10 тыс/кв.м,2024-01-01,2012.0,2024,1
12000.0,103.8,47.0,Ленинградская область,Кошкино,Кингисеппский,Не указано,115.6,Здание,Нежилое здание,Блоки,1.0,100-200 кв.м,До 10 тыс/кв.м,2024-01-01,2003.0,2024,1
1089600.0,4071.7,74.0,Челябинская область,Челябинск,Не указано,Маркса,267.6,Помещение,Нежилое помещение,Блоки,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2014.0,2024,1
64675.2,96.0,71.0,Тульская область,Юдинки,Алексинский,Не указано,673.7,Здание,Нежилое здание,Блоки,2.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2000.0,2024,1
2356524.0,1033.2,16.0,Республика Татарстан,Казань,Не указано,Горьковское Шоссе,2280.8,Здание,Нежилое здание,Блоки,2.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2019.0,2024,1
30000.0,28.1,76.0,Ярославская область,Михайловский,Ярославский,Приволжская,1067.9,Здание,Нежилое здание,Кирпич,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1970.0,2024,1
613910.0,1100.0,33.0,Владимирская область,город Судогда,Судогодский,Муромское шоссе,558.1,Помещение,Нежилое помещение,Кирпич,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1994.0,2024,1
221940.0,2746.8,55.0,Омская область,Омск,Не указано,Госплемстанция,80.8,Помещение,Нежилое помещение,Блоки,1.0,50-100 кв.м,До 10 тыс/кв.м,2024-01-01,2018.0,2024,1
300000.0,14084.5,23.0,Краснодарский край,Анапа,город-курорт Анапа,Пионерский,21.3,Помещение,Нежилое помещение,Кирпич,6.0,До 30 кв.м,10-50 тыс/кв.м,2024-01-01,1986.0,2024,1
396200.0,1620.4,23.0,Краснодарский край,Краснодар,Не указано,Монтажников,244.5,Помещение,Нежилое помещение,Не указано,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2009.0,2024,1
116472.0,1271.5,31.0,Белгородская область,Беломестное,Новооскольский,Центральная,91.6,Здание,Нежилое здание,Кирпич,1.0,50-100 кв.м,До 10 тыс/кв.м,2024-01-01,,2024,1
1200000.0,834.2,39.0,Калининградская область,Калининград,Не указано,Елизаветинская,1438.5,Здание,Нежилое здание,Кирпич,2.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2016.0,2024,1
270000.0,457.5,26.0,Ставропольский край,Ставрополь,Не указано,Чехова,590.2,Здание,Нежилое здание,Кирпич,2.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2013.0,2024,1
720000.0,2884.6,36.0,Воронежская область,Морозовка,Россошанский,Пролетарская,249.6,Здание,Нежилое здание,Кирпич,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1964.0,2024,1
2400000.0,3090.4,50.0,Московская область,Сергиев Посад,Сергиево-Посадский,Красной Армии,776.6,Помещение,Нежилое помещение,Блоки,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1948.0,2024,1
2183088.0,7810.7,75.0,Забайкальский край,Акша,Акшинский,Советская,279.5,Помещение,Нежилое помещение,Панели,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1952.0,2024,1
738711.12,8569.7,34.0,Волгоградская область,Волгоград,Не указано,им Энгельса,86.2,Помещение,Нежилое помещение,Не указано,,50-100 кв.м,До 10 тыс/кв.м,2024-01-01,,2024,1
840088.54,1345.0,4.0,Республика Алтай,Манжерокское,Майминский,Не указано,624.6,Здание,Жилое здание,Блоки,3.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2010.0,2024,1
1068000.0,14812.8,23.0,Краснодарский край,Анапа,Анапский,Парковая,72.1,Помещение,Нежилое помещение,Не указано,1.0,50-100 кв.м,10-50 тыс/кв.м,2024-01-01,2017.0,2024,1
502000.0,528.4,27.0,Хабаровский край,Амурск,Не указано,Амурская,950.0,Помещение,Нежилое помещение,Кирпич,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1986.0,2024,1
10000.0,60.3,23.0,Краснодарский край,Туапсе,Туапсинский,К. Маркса,165.8,Помещение,Нежилое помещение,Кирпич,,100-200 кв.м,До 10 тыс/кв.м,2024-01-01,1955.0,2024,1
6000.0,117.2,75.0,Забайкальский край,Малета,Петровск-Забайкальский,Комсомольская,51.2,Здание,Нежилое здание,Блоки,1.0,50-100 кв.м,До 10 тыс/кв.м,2024-01-01,2013.0,2024,1
2400.0,29.2,4.0,Республика Алтай,Кош-Агачское,Кош-Агачский,Карамаева,82.2,Здание,Жилое здание,Дерево,1.0,50-100 кв.м,До 10 тыс/кв.м,2024-01-01,2015.0,2024,1
743040.0,956.4,78.0,Санкт-Петербург,Не указано,Не указано,Народная,776.9,Помещение,Нежилое помещение,Кирпич,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1976.0,2024,1
952392.0,420.0,50.0,Московская область,Можайск,Можайский,Полевая,2267.6,Здание,Нежилое здание,Блоки,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1994.0,2024,1
21602000.0,9230.4,50.0,Московская область,Домодедово,Не указано,Не указано,2340.3,Здание,Нежилое здание,Блоки,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2023.0,2024,1
2760000.0,2392.9,55.0,Омская область,Калачинск,Калачинский,30 лет Победы,1153.4,Помещение,Нежилое помещение,Не указано,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2010.0,2024,1
4009.83,55.9,51.0,Мурманская область,Полярный,Не указано,Лунина,71.7,Помещение,Нежилое помещение,Кирпич,1.0,50-100 кв.м,До 10 тыс/кв.м,2024-01-01,1963.0,2024,1
240000.0,1111.1,56.0,Оренбургская область,Оренбург,Не указано,Мира,216.0,Помещение,Нежилое помещение,Блоки,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1969.0,2024,1
281500.0,620.9,50.0,Московская область,Егорьевск,Не указано,Меланжистов,453.4,Помещение,Нежилое помещение,Блоки,2.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,,2024,1
1440000.0,13806.3,13.0,Республика Мордовия,Саранск,Не указано,Коммунистическая,104.3,Помещение,Нежилое помещение,Кирпич,1.0,100-200 кв.м,10-50 тыс/кв.м,2024-01-01,2003.0,2024,1
20734909.44,68863.9,89.0,Ямало-Ненецкий автономный округ,Новый Уренгой,Не указано,Имени В.Я.Петуха,301.1,Здание,Нежилое здание,Кирпич,1.0,Свыше 200 кв.м,50-100 тыс/кв.м,2024-01-01,2005.0,2024,1
2820000.0,21759.3,78.0,Санкт-Петербург,Не указано,Не указано,Пограничника Гарькавого,129.6,Здание,Нежилое здание,Кирпич,1.0,100-200 кв.м,10-50 тыс/кв.м,2024-01-01,1958.0,2024,1
71303.64,60.8,66.0,Свердловская область,Новоуральск,Не указано,Фрунзе,1173.0,Помещение,Нежилое помещение,Кирпич,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1989.0,2024,1
122000.0,365.4,32.0,Брянская область,Старское,Дятьковский,Розы Люксембург,333.9,Здание,Нежилое здание,Кирпич,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1953.0,2024,1
135000.0,533.8,25.0,Приморский край,Арсеньев,Не указано,Балабина,252.9,Помещение,Нежилое помещение,Блоки,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2016.0,2024,1
90000.0,572.9,55.0,Омская область,Омск,Не указано,Мира,157.1,Помещение,Нежилое помещение,Кирпич,,100-200 кв.м,До 10 тыс/кв.м,2024-01-01,1959.0,2024,1
22250.0,460.7,77.0,Москва,Не указано,Не указано,Петровка,48.3,Помещение,Нежилое помещение,Кирпич,1.0,30-50 кв.м,До 10 тыс/кв.м,2024-01-01,1876.0,2024,1
2820000.0,3971.3,2.0,Республика Башкортостан,Уфа,Не указано,Кольцевая,710.1,Помещение,Нежилое помещение,Кирпич,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1968.0,2024,1
1320000.0,527.3,47.0,Ленинградская область,Всеволожск,Всеволожский,Александровская,2503.5,Помещение,Нежилое помещение,Кирпич,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1980.0,2024,1
823608.0,1896.4,28.0,Амурская область,Тында,Не указано,Красная Пресня,434.3,Помещение,Нежилое помещение,Не указано,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1986.0,2024,1
25000.0,236.5,39.0,Калининградская область,Калининград,Не указано,Красная,105.7,Здание,Нежилое здание,Кирпич,1.0,100-200 кв.м,До 10 тыс/кв.м,2024-01-01,1965.0,2024,1
2920.0,50.0,2.0,Республика Башкортостан,Благовещенск,Благовещенский,Точисского,58.4,Здание,Нежилое здание,Кирпич,1.0,50-100 кв.м,До 10 тыс/кв.м,2024-01-01,2013.0,2024,1
